PLOT_NAME	SUBPLOT	QUADRAT	SPPCODE	SIZE_CLASS	COUNT1999	COUNT2000	COUNT2001	COUNT2002	COUNT2003	COUNT2004	COUNT2005	COUNT2006	COUNT2007	COUNT2008	COUNT2009	DATA_YEAR
BBBPIPO	6	1	ABCO	1	0	0	0	0	0	0	0	0	0	0	5	2009
BBBPIPO	6	1	ABCO	2	62	26	0	2	1	2	1	0	0	2	0	1999
BBBPIPO	6	1	ABCO	10	0	4	28	19	19	10	6	4	5	3	2	2000
BBBPIPO	6	1	CADE	1	0	4	0	0	21	0	36	3	16	0	0	2000
BBBPIPO	6	1	CADE	2	6	1	0	6	0	0	0	0	1	1	0	1999
BBBPIPO	6	1	CADE	10	4	9	6	0	5	3	1	2	2	1	1	1999
BBBPIPO	6	1	PILA	1	0	0	0	0	0	0	0	0	2	0	0	2007
BBBPIPO	6	1	PILA	2	1	0	0	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	1	PILA	10	1	1	1	1	0	0	0	0	0	0	0	1999
BBBPIPO	6	1	PIPO	1	0	0	0	0	2	0	0	2	0	0	0	2003
BBBPIPO	6	1	PIPO	2	2	0	0	0	0	0	0	0	0	0	0	1999
BBBPIPO	6	1	PIXX	1	0	0	0	7	0	0	0	1	0	0	0	2002
BBBPIPO	6	1	PIXX	2	0	0	0	0	1	0	0	0	0	0	0	2003
BBBPIPO	6	1	QUCH	10	0	0	0	0	0	0	0	1	0	0	0	2006
BBBPIPO	6	1	QUKE	1	0	1	2	8	0	0	3	0	0	1	0	2000
BBBPIPO	6	1	QUKE	2	1	0	0	0	0	0	5	0	0	0	0	1999
BBBPIPO	6	1	QUKE	10	15	2	7	1	5	24	16	23	12	6	22	1999
BBBPIPO	6	1	QUKE	25	0	27	0	24	31	19	21	44	49	48	NA	2000
BBBPIPO	6	2	ABCO	1	0	0	0	12	0	0	0	0	9	0	7	2002
BBBPIPO	6	2	ABCO	2	15	7	0	3	0	0	0	0	0	1	0	1999
BBBPIPO	6	2	ABCO	10	0	3	8	4	7	1	0	0	0	0	0	2000
BBBPIPO	6	2	CADE	1	0	1	0	0	6	1	56	6	29	2	0	2000
BBBPIPO	6	2	CADE	2	5	0	0	3	0	0	0	0	7	4	0	1999
BBBPIPO	6	2	CADE	10	3	5	5	3	3	2	1	0	1	0	2	1999
BBBPIPO	6	2	PILA	1	0	0	0	0	0	0	0	1	1	5	0	2006
BBBPIPO	6	2	PIPO	1	0	0	0	0	3	0	0	0	3	2	0	2003
BBBPIPO	6	2	PIXX	1	0	0	0	6	0	0	0	0	0	0	1	2002
BBBPIPO	6	2	PIXX	2	0	0	0	0	0	0	0	0	0	0	1	2009
BBBPIPO	6	2	QUCH	10	0	0	0	0	0	1	0	0	0	0	0	2004
